iso,regions
ABW,LAM
AFG,ASIA
AGO,MAF
AIA,LAM
ALB,OECD
AND,OECD
ANT,LAM
ARE,MAF
ARG,LAM
ARM,REF
ASM,ASIA
ATG,LAM
AUS,OECD
AUT,OECD
AZE,REF
BDI,MAF
BEL,OECD
BEN,MAF
BFA,MAF
BGD,ASIA
BGR,OECD
BHR,MAF
BHS,LAM
BIH,OECD
BLR,REF
BLZ,LAM
BMU,LAM
BOL,LAM
BRA,LAM
BRB,LAM
BRN,ASIA
BTN,ASIA
BWA,MAF
CAF,MAF
CAN,OECD
CCK,ASIA
CHE,OECD
CHI,OECD
CHL,LAM
CHN,ASIA
CIV,MAF
CMR,MAF
COD,MAF
COG,MAF
COK,ASIA
COL,LAM
COM,MAF
CPV,MAF
CRI,LAM
CUB,LAM
CYM,LAM
CYP,OECD
CXR,ASIA
CZE,OECD
DEU,OECD
DJI,MAF
DMA,LAM
DNK,OECD
DOM,LAM
DZA,MAF
ECU,LAM
EGY,MAF
ERI,MAF
ESH,MAF
ESP,OECD
EST,OECD
ETH,MAF
FIN,OECD
FJI,ASIA
FLK,OECD
FRA,OECD
FRO,OECD
FSM,ASIA
GAB,MAF
GBR,OECD
GEO,REF
GHA,MAF
GIB,OECD
GIN,MAF
GLP,LAM
GMB,MAF
GNB,MAF
GNQ,MAF
GRC,OECD
GRD,LAM
GRL,OECD
GTM,LAM
GUF,LAM
GUM,ASIA
GUY,LAM
HKG,ASIA
HND,LAM
HRV,OECD
HTI,LAM
HUN,OECD
IDN,ASIA
IMN,OECD
IND,ASIA
IRL,OECD
IRN,MAF
IRQ,MAF
ISL,OECD
ISR,MAF
ITA,OECD
JAM,LAM
JOR,MAF
JPN,OECD
KAZ,REF
KEN,MAF
KGZ,REF
KHM,ASIA
KIR,ASIA
KNA,LAM
KOR,ASIA
KWT,MAF
LAO,ASIA
LBN,MAF
LBR,MAF
LBY,MAF
LCA,LAM
LIE,OECD
LKA,ASIA
LSO,MAF
LTU,OECD
LUX,OECD
LVA,OECD
MAC,ASIA
MAR,MAF
MCO,OECD
MDA,REF
MDG,MAF
MDV,ASIA
MEX,LAM
MHL,ASIA
MKD,OECD
MLI,MAF
MLT,OECD
MMR,ASIA
MNE,OECD
MNG,ASIA
MNP,ASIA
MOZ,MAF
MRT,MAF
MSR,LAM
MTQ,LAM
MUS,MAF
MWI,MAF
MYS,ASIA
MYT,ASIA
NAM,MAF
NCL,ASIA
NER,MAF
NFK,ASIA
NGA,MAF
NIC,LAM
NIU,ASIA
NLD,OECD
NOR,OECD
NPL,ASIA
NRU,ASIA
NZL,OECD
OMN,MAF
PAK,ASIA
PAN,LAM
PCI,ASIA
PCN,ASIA
PER,LAM
PHL,ASIA
PLW,ASIA
PNG,ASIA
POL,OECD
PRI,OECD
PRK,ASIA
PRT,OECD
PRY,LAM
PSE,MAF
PYF,ASIA
QAT,MAF
REU,MAF
ROM,OECD
RUS,REF
RWA,MAF
SAU,MAF
SCG,OECD
SDN,MAF
SEN,MAF
SGP,ASIA
SHN,OECD
SJM,OECD
SLB,ASIA
SLE,MAF
SLV,LAM
SMR,OECD
SOM,MAF
SPM,OECD
SRB,OECD
STP,MAF
SUR,LAM
SVK,OECD
SVN,OECD
SWE,OECD
SWZ,MAF
SYC,ASIA
SYR,MAF
TCA,OECD
TCD,MAF
TGO,MAF
THA,ASIA
TJK,REF
TKL,ASIA
TKM,REF
TLS,ASIA
TON,ASIA
TTO,LAM
TUN,MAF
TUR,OECD
TUV,ASIA
TWN,ASIA
TZA,MAF
UGA,MAF
UKR,REF
URY,LAM
USA,OECD
UZB,REF
VAT,OECD
VCT,LAM
VEN,LAM
VGB,OECD
VIR,OECD
VNM,ASIA
VUT,ASIA
WLF,OECD
WSM,ASIA
YEM,MAF
YUG,OECD
ZAF,MAF
ZMB,MAF
ZWE,MAF
SSD,MAF
